id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
352;Niblick;Fore;1964;JAN;16;16:00:00.15;'NTS-YF;37.14228;-116.04911;-490,42;1263;UG-S;WR;20;200;38;317;;LLNL
353;Niblick;Oconto;1964;JAN;23;16:00:00.15;'NTS-YF;37.12642;-116.03633;-264,69;1260;UG-S;WR;10,5;;10,5;293;;LLNL
354;Niblick;Club;1964;JAN;30;16:00:00.15;'NTS-YF;37.13621;-116.07066;-180,44;1283;UG-S;WR;0;20;2;30;;LLNL
355;Niblick;Solendon;1964;FEB;12;15:38:00.12;'NTS-YF;37.05661;-116.02924;-150,17;1206;UG-S;WR;0;20;;;;LANL
356;Niblick;Bunker;1964;FEB;13;15:30:00.15;'NTS-YF;37.13202;-116.03234;-226,77;1270;UG-S;WR;0;20;1,5;;;LLNL
357;Niblick;Bonefish;1964;FEB;18;15:37:19.12;'NTS-YF;37.05938;-116.03332;-300,76;1207;UG-S;WR;0;20;5;180;;LANL
358;Niblick;Mackerel;1964;FEB;18;15:37:37.124;'NTS-YF;37.09563;-116.05072;-333,71;1236;UG-S;WR;0;20;;;;LANL
359;Niblick;Klickitat;1964;FEB;20;15:30:00.15;'NTS-YF;37.15089;-116.04011;-492,56;1273;UG-S;PR;70;;70;280;;LLNL
360;Niblick;Handicap;1964;MAR;12;15:00:00.01;'NTS-YF;37.12993;-116.03634;-143,26;1261;UG-S;WR;0;20;0,2;;;LLNL
361;Niblick;Pike;1964;MAR;13;16:02:00.12;'NTS-YF;37.05047;-116.01147;-114,5;1211;UG-S;WR;0;20;2;73;;LANL
362;Niblick;Hook;1964;APR;14;14:40:00.15;'NTS-YF;37.12892;-116.02983;-203,67;1276;UG-S;WR;0;20;3;90;;LLNL
363;Niblick;Sturgeon;1964;APR;15;14:30:00.12;'NTS-YF;37.04392;-116.01836;-149,77;1198;UG-S;WR;0;20;2;72;;LANL
364;Niblick;Bogey;1964;APR;17;15:29:52.28;'NTS-YF;37.11949;-116.03389;-118,84;1265;UG-S;WR;0;20;;;;LLNL
365;Niblick;Turf;1964;APR;24;20:10:00.15;'NTS-YF;37.14958;-116.05539;-506,88;1272;UG-S;WR;20;200;38;386;;LLNL
366;Niblick;Pipefish;1964;APR;29;20:47:00.12;'NTS-YF;37.03956;-116.02664;-261,92;1194;UG-S;WR;0;20;15;146;;LANL
367;Niblick;Driver;1964;MAY;7;13:00:00.15;'NTS-YF;37.12026;-116.04029;-148,19;1253;UG-S;WR;0;20;;;;LLNL
368;Niblick;Backswing;1964;MAY;14;14:40:00.15;'NTS-YF;37.11733;-116.03894;-163,37;1257;UG-S;WR;0;20;8;146;;LLNL
369;Niblick;Minnow;1964;MAY;15;16:15:00.12;'NTS-YF;37.04169;-116.01222;-241,34;1199;UG-S;WR;0;20;6;127;;LANL
