id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
783;Toggle;Alumroot;1973;FEB;14;15:30:00.16;'NTS-YF;37.14709;-116.05009;-182,88;1264;UG-S;WR;0;20;;;;LLNL
784;Toggle;Miera;1973;MAR;8;16:10:00.19;'NTS-YF;37.10358;-116.02672;-568,39;1279;UG-S;WR;20;200;67;340;;LANL
785;Toggle;Gazook;1973;MAR;23;20:15:00.17;'NTS-YF;37.11727;-116.08703;-326,14;1274;UG-S;WR;0;20;0,2;;;LLNL
786;Toggle;Natoma;1973;APR;5;14:50:00.16;'NTS-YF;37.17788;-116.05389;-243,84;1283;UG-S;WR;0;20;;;;LLNL
787;Toggle;Angus;1973;APR;25;22:25:00.03;'NTS-YF;37.00483;-116.02844;-452,63;1180;UG-S;WR;0;20;9;;;LANL
788;Toggle;Velarde;1973;APR;25;"22;25:00.07";'NTS-YF;36.99400;-116.02200;-277;1176;UG-S;WR;0;20;8;150;;LANL
789;Toggle;Colmor;1973;APR;26;15:15:00.04;'NTS-YF;37.01215;-116.01997;-245,81;1182;UG-S;WR;0;20;0,5;;;LANL
790;Toggle;Starwort;1973;APR;26;17:15:00.16;'NTS-YF;37.12306;-116.05850;-563,88;1261;UG-S;WR;90;;90;351;;LLNL
791;Toggle;Mesita;1973;MAY;9;13:30:00.04;'NTS-YF;37.00627;-116.01608;-149,25;1180;UG-S;WR;0;20;;;;LANL
792;Toggle;Rio Blanco-1;1973;MAY;17;16:00:00.12;'-CO;39.79300;-108.36800;-2040;2005;UG-S;PR;33;;33;;;LLNL
793;Toggle;Rio Blanco-2;1973;MAY;17;16:00:00.12;'-CO;39.79300;-108.36700;;2005;UG-S;PR;33;;33;;;LLNL
794;Toggle;Rio Blanco-3;1973;MAY;17;16:00:00.12;'-CO;39.79300;-108.36800;;2005;UG-S;PR;33;;33;;;LLNL
795;Toggle;Cabresto;1973;MAY;24;13:30:00.04;'NTS-YF;37.07805;-116.03077;-197,89;1228;UG-S;WR;0;20;15;;;LANL
796;Toggle;Kashan;1973;MAY;24;14:30:00.16;'NTS-YF;37.16223;-116.05597;-265,18;1277;UG-S;WR;0;20;2;110;;LLNL
797;Toggle;Dido Queen;1973;JUN;5;17:00:00.17;'NTS-RM;37.18503;-116.21511;-391,36;2247;UG-T;WE;0;20;18;;;LLNL
798;Toggle;Almendro;1973;JUN;6;13:00:00.08;'NTS-PM;37.24510;-116.34600;1066,52;2069;UG-S;WR;200;1000;250;;;LANL
799;Toggle;Potrillo;1973;JUN;21;14:45:00.08;'NTS-YF;37.09204;-116.02723;-567,02;1255;UG-S;WR;20;200;58;340;;LANL
800;Toggle;Portulaca;1973;JUN;28;19:15:12.40;'NTS-YF;37.14842;-116.08586;-466,34;1311;UG-S;WR;20;200;24;183;;LLNL
801;Toggle;Silene;1973;JUN;28;19:45:00.16;'NTS-YF;37.11491;-116.04092;-198,12;1254;UG-S;WR;0;20;0,005;;;LLNL
802;Arbor;Polygonum;1973;OCT;2;14:30:00.166;'NTS-YF;37.15879;-116.07299;-213,36;1304;UG-S;WR;0;20;;;;LLNL
803;Arbor;Waller;1973;OCT;2;15:15:00.164;'NTS-YF;37.15391;-116.06771;-310,9;1294;UG-S;WR;0;20;1;;;LLNL
804;Arbor;Husky Ace;1973;OCT;12;17:00:00.08;'NTS-RM;37.20039;-116.20317;-415,66;2238;UG-T;WE;0;20;8;;;LANL
805;Arbor;Bernal;1973;NOV;28;15:30:00.08;'NTS-YF;37.01099;-116.02448;-285,29;1183;UG-S;WR;0;20;5;140;;LANL
806;Arbor;Pajara;1973;DEC;12;19:00:00.10;'NTS-YF;36.99149;-116.02413;-278,17;1175;UG-S;WR;0;20;5;150;;LANL
807;Arbor;Seafoam;1973;DEC;13;15:17:00.17;'NTS-YF;37.16140;-116.07305;-198,12;1306;UG-S;WR;0;20;;;;LLNL
808;Arbor;Spar;1973;DEC;19;18:30:00.04;'NTS-YF;37.00577;-116.01889;-148,43;1180;UG-S;SE;0;20;;;;LANL
809;Arbor;Elida;1973;DEC;19;19:16:00.11;'NTS-YF;37.00114;-116.03141;-381,42;1178;UG-S;WR;0;20;0,3;;;LANL
810;Arbor;Pinodrops-Sloat;1974;JAN;10;15:38:00.17;'NTS-YF;37.17400;-116.05200;-342,9;1283;UG-S;WR;0;20;;;;LLNL
811;Arbor;Pinedrops-Tawny;1974;JAN;10;15:38:00.17;'NTS-YF;37.17400;-116.05200;;1283;UG-S;WR;0;20;;;;LLNL
812;Arbor;Pinedrops-Bayou;1974;JAN;10;15:38:00.17;'NTS-YF;37.17400;-116.05200;-343;1283;UG-S;WR;0;20;;;;LLNL
813;Arbor;Latir;1974;FEB;27;17:00:00.09;'NTS-YF;37.10426;-116.05284;-640,77;1243;UG-S;WR;20;200;150;230;;LANL
814;Arbor;Hulsea;1974;MAR;14;17:00:00.166;'NTS-YF;37.15513;-116.06409;-195,07;1289;UG-S;WR;0;20;;;;LLNL
815;Arbor;Sapello;1974;APR;12;15:15:00.08;'NTS-YF;37.01494;-116.04414;-180,74;1189;UG-S;WR;0;20;;;;LANL
816;Arbor;Potrero;1974;APR;23;15:13:00.161;'NTS-YF;37.15997;-116.07641;-210,31;1310;UG-S;WR;0;20;0,5;;;LLNL
817;Arbor;Plomo;1974;MAY;1;14:02:00.21;'NTS-YF;37.03110;-115.98560;-149,35;1227;UG-S;WR;0;20;;;;LANL
818;Arbor;Jib;1974;MAY;8;16:55:00.085;'NTS-YF;37.00098;-116.00162;-180,44;1177;UG-S;WR;0;20;;;;LANL
819;Arbor;Grove;1974;MAY;22;14:15:00.169;'NTS-YF;37.11481;-116.07470;-313,94;1264;UG-S;WR;0;20;2,5;50;;LLNL
820;Arbor;Jara;1974;JUN;6;14:40:00.08;'NTS-YF;37.00384;-116.02351;-378,06;1180;UG-S;WR;0;20;4;150;;LANL
821;Arbor;Ming Blade;1974;JUN;19;16:00:00.084;'NTS-RM;37.21031;-116.20726;-387,65;2212;UG-T;WE;0;20;20;;;LANL
822;Bedrock;Escabosa;1974;JUL;10;16:00:00.092;'NTS-YF;37.07503;-116.03182;-638,52;1223;UG-S;WR;20;200;150;350;;LANL
823;Bedrock;Crestlake-Tansan;1974;JUL;18;14:00:01.20;'NTS-YF;37.11900;-116.08600;-272;1274;UG-S;WR;0;20;2;60;;LLNL
824;Bedrock;Crestlake-Briar;1974;JUL;18;14:00:01.20;'NTS-YF;37.11900;-116.08600;-373,68;1274;UG-S;WR;0;20;;;;LLNL
825;Bedrock;Puye;1974;AUG;14;14:00:00.11;'NTS-YF;37.02341;-116.03636;-430,08;1188;UG-S;WR;0;20;5;;;LANL
826;Bedrock;Portmanteau;1974;AUG;30;15:00:00.163;'NTS-YF;37.15248;-116.08333;-655,32;1313;UG-S;WR;20;200;160;270;;LLNL
827;Bedrock;Pratt;1974;SEP;25;14:00:00.08;'NTS-YF;37.01212;-116.03029;-313,96;1183;UG-S;WR;0;20;5;180;;LANL
828;Bedrock;Trumbull;1974;SEP;26;14:30:00.164;'NTS-YF;37.09321;-116.09476;-262,74;1269;UG-S;WR;0;20;0,2;;;LLNL
829;Bedrock;Stanyan;1974;SEP;26;15:05:00.17;'NTS-YF;37.13263;-116.06839;-573,02;1275;UG-S;WR;20;200;100;;;LLNL
830;Bedrock;Estaca;1974;OCT;17;17:13:00.118;'NTS-YF;37.03973;-116.04819;-321,05;1180;UG-S;WR;0;20;;;;LANL
831;Bedrock;Hybla Fair;1974;OCT;28;15:00:00.168;'NTS-RM;37.20113;-116.20394;-404,47;2227;UG-T;WE;0;20;;;;LLNL
832;Bedrock;Temescal;1974;NOV;2;15:30:00.164;'NTS-YF;37.09319;-116.09167;-262,74;1263;UG-S;WR;0;20;;;;LLNL
833;Bedrock;Puddle;1974;NOV;26;15:00:00.90;'NTS-YF;37.00103;-116.01121;-183,97;1169;UG-S;SE;0;20;;;;LANL
834;Bedrock;Keel;1974;DEC;16;17:30:00.088;'NTS-YF;37.01130;-116.01763;-304,72;1182;UG-S;WR;0;20;4;170;;LANL
835;Bedrock;Portola;1975;FEB;6;15:30:00.165;'NTS-YF;37.17841;-116.05156;-198,12;1285;UG-S;WR;0;20;0,35;;;LLNL
836;Bedrock;Portola-Larkin;1975;FEB;6;15:30:00.16;'NTS-YF;37.17841;-116.05156;-274;1285;UG-S;WR;0;20;;;;LLNL
837;Bedrock;Teleme;1975;FEB;6;16:13:00.17;'NTS-YF;37.11412;-116.02104;-304,8;1300;UG-S;WR;0;20;6;150;;LLNL
838;Bedrock;Bilge;1975;FEB;19;20:10:00.224;'NTS-YF;37.00220;-116.02456;-318,35;1179;UG-S;WR;0;20;;;;LANL
839;Bedrock;Topgallant;1975;FEB;28;16:15:00.09;'NTS-YF;37.10620;-116.05625;-713,37;1245;UG-S;WR;20;200;160;320;;LANL
840;Bedrock;Cabrillo;1975;MAR;7;16:00:00.169;'NTS-YF;37.13401;-116.08424;-600,46;1288;UG-S;WR;20;200;89;170;;LLNL
841;Bedrock;Dining Car;1975;APR;5;19:45:00.187;'NTS-RM;37.18792;-116.21388;-383,01;2238;UG-T;WE;0;20;20;;;LLNL
842;Bedrock;Edam;1975;APR;24;14:10:00.17;'NTS-YF;37.11567;-116.08739;-411,48;1272;UG-S;WR;20;200;20;170;;LLNL
