id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
1;1949;1 Pervaya Molniya (Joe 1);1949;AUG;29;00:00;'STS-GZ;50.44000;77.82000;30;;AS-T;WR;22;;22;;RDS-1;KB-11
2;1950;X;1950;;;;'STS;50.00000;78.00000;;;AS-T;;;;0;;RDS-1;KB-11
3;1951;2 Vtoraya Molniya (Joe 2);1951;SEP;24;06:19;'STS;50.00000;78.00000;30;;AS-T;WR;38;;38,3;;RDS-2;KB-11
4;1951;3 (Joe 3);1951;OCT;18;03:53;'STS;50.00000;78.00000;380;;A-AD;WR;42;;42;;RDS-3;KB-11
5;1953;4 (Joe 4);1953;AUG;12;;'STS;50.00000;78.00000;30;;AS-T;WR;400;;400;C;RDS-6s;KB-11
6;1953;5 (Joe 5);1953;AUG;23;02:00;'STS;50.00000;78.00000;600;;A-AD;WR;28;;28;;RDS-4;KB-11
7;1953;6 (Joe 6?);1953;SEP;3;;'STS;50.00000;78.00000;255;;A;WR;5,8;;5,8;;;KB-11
8;1953;7;1953;SEP;8;;'STS;50.00000;78.00000;220;;A;WR;1,6;;1,6;;;KB-11
9;1953;8 (Joe 7?);1953;SEP;10;;'STS;50.00000;78.00000;220;;A;WR;4,9;;4,9;;;KB-11
10;1954;9 (Joe 8?);1954;SEP;14;06:33;'-RU-O;52.60000;52.84000;350;;A-AD;ME;40;;40;;RDS-3;KB-11
11;1954;10;1954;SEP;29;;'STS;50.00000;78.00000;210;;A;WR;0,2;;0,2;;;KB-11
12;1954;11;1954;OCT;1;;'STS;50.00000;78.00000;105;;A;WR;0,03;;0,03;;;KB-11
13;1954;12 (Joe 9?);1954;OCT;3;;'STS;50.00000;78.00000;130;;A;WR;2;;2;;;KB-11
14;1954;13 (Joe 10?);1954;OCT;5;03:00;'STS;50.00000;78.00000;0;;AS;WR;4;;4;;;KB-11
15;1954;14 (Joe 11?);1954;OCT;8;;'STS;50.00000;78.00000;295;;A;WR;0,8;;0,8;;;KB-11
16;1954;15;1954;OCT;19;;'STS;50.00000;78.00000;15;;AS-T;WR;0;0,001;0,001;;RDS-9/T-5;KB-11
17;1954;16 (Joe 12?);1954;OCT;23;;'STS;50.00000;78.00000;410;;A;WR;62;;62;;RDS-3I;KB-11
18;1954;17 (Joe 13?);1954;OCT;26;;'STS;50.00000;78.00000;110;;A;WR;2,8;;2,8;;;KB-11
19;1954;18 (Joe 14?);1954;OCT;30;04:00;'STS;50.00000;78.00000;55;;AS-AD;WR;10;;10;;;KB-11
20;1955;X;1955;FEB;20;;';;;;;A-R;;;;0;;R-5M wh;KB-11
21;1955;19 (Joe 15);1955;JUL;29;02:00;'STS;50.00000;78.00000;2,5;;AS;WR;1,3;;1,3;;RDS-9;KB-11
22;1955;20 (Joe 16);1955;AUG;2;03:00;'STS;50.00000;78.00000;2,5;;AS;WR;12;;12;;RDS-9;KB-11
23;1955;21;1955;AUG;5;;'STS;50.00000;78.00000;1,5;;AS;WR;1,2;;1,2;;RDS-9;KB-11
24;1955;22 (Joe 17);1955;SEP;21;;'NZ-CB;70.70000;54.56000;-10;-90;UW-B;WE;3,5;;3,5;;RDS-9/T-5;KB-11
25;1955;X;1955;SEP;21;;'STS;50.00000;78.00000;;;AS;;;0;0;;;
26;1955;23 (Joe 18);1955;NOV;6;04:50;'STS;50.00000;78.00000;1000;;A;WR;250;;250;;RDS-27;KB-11
27;1955;24 (Joe 19);1955;NOV;22;;'STS;50.00000;78.00000;1550;;A-AD;WR;1600;;1600;;RDS-37;KB-11
28;1956;25;1956;FEB;2;;'MTR;46.00000;62.00000;;;AS-R;WE;0,3;;0,3;;;
29;1956;26;1956;MAR;16;05:00;'STS;50.00000;78.00000;0,4;;AS;WR;14;;14;;;
30;1956;27;1956;MAR;25;;'STS;50.00000;78.00000;1;;AS;WR;5,5;;5,5;;;
31;1956;28;1956;AUG;24;00:15;'STS;50.00000;78.00000;93;;AS-T;WR;27;;27;;;
32;1956;29;1956;AUG;30;;'STS;50.00000;78.00000;1100;;A;WR;900;;900;;;
33;1956;30;1956;SEP;2;;'STS;50.00000;78.00000;1050;;A;WR;51;;51;;;
34;1956;31;1956;SEP;10;;'STS;50.00000;78.00000;270;;A;WR;38;;38;;;
35;1956;32;1956;NOV;17;;'STS;50.00000;78.00000;2000;;A;WR;900;;900;;;
36;1956;33;1956;DEC;14;;'STS;50.00000;78.00000;1965;;A;WR;40;;40;;;
37;1957;34;1957;JAN;19;;'MTR;49.00000;46.00000;10370;;A-R;WE;10;;10;;;
38;1957;35;1957;MAR;8;;'STS;50.00000;78.00000;610;;A;WR;19;;19;;;
39;1957;36;1957;APR;3;;'STS;50.00000;78.00000;1100;;A;WR;42;;42;;;
40;1957;37;1957;APR;6;;'STS;50.00000;78.00000;1145;;A;WR;57;;57;;;
41;1957;38;1957;APR;10;;'STS;50.00000;78.00000;2000;;A;WR;680;;680;;;
42;1957;39;1957;APR;12;;'STS;50.00000;78.00000;1145;;A;WR;22;;22;;;
43;1957;40;1957;APR;16;;'STS;50.00000;78.00000;2000;;A;WR;320;;320;;;
44;1957;41;1957;AUG;22;06:30;'STS;50.00000;78.00000;1880;;A;WR;520;;520;;;
45;1957;42;1957;AUG;26;;'STS;50.00000;78.00000;410;;A;SE;0,1;;0,1;;;
